Username;Number of Review;Number of Product;Response Chat (Percentage);Response Chat (Category);Length of Stay;Number of Follower;Product Category;Address;Rating;Status
hp.itgaleri;57;325;100%;hitungan jam;2 bulan lalu;632;Komputer & Aksesoris;KOTA TANGERANG SELATAN - CIPUTAT TIMUR, BANTEN, ID;4.9 (57 Penilaian);Shopee Mall
lenovo.id;6,7RB;362;77%;hitungan jam;4 tahun lalu;182,5RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (6,7RB Penilaian);Shopee Mall
applestore.jkt;9,9RB;250;86%;hitungan jam;24 bulan lalu;8,4RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID;4.9 (9,9RB Penilaian);Regular
askcom;93;222;99%;hitungan menit;12 bulan lalu;118;Komputer & Aksesoris;KOTA JAKARTA SELATAN - SETIA BUDI, DKI JAKARTA, ID;4.9 (93 Penilaian);Regular
wilaza;610;101;79%;hitungan jam;5 tahun lalu;1,8RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - KALIDERES, DKI JAKARTA, ID;4.8 (610 Penilaian);Regular
nuri_himawati;2,4RB;677;96%;hitungan jam;5 tahun lalu;522;Komputer & Aksesoris;KOTA SURAKARTA (SOLO) - BANJARSARI, JAWA TENGAH, ID;4.9 (2,4RB Penilaian);Regular
rex_id;15;133;99%;hitungan jam;4 bulan lalu;10;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (15 Penilaian);Regular
basecomtech;176;306;100%;hitungan menit;7 bulan lalu;183;Komputer & Aksesoris;KOTA BEKASI - BEKASI SELATAN, JAWA BARAT, ID;4.9 (176 Penilaian);Star+
cityland.store7283;217;274;97%;hitungan jam;6 bulan lalu;417;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;4.9 (217 Penilaian);Star
jaydan1314;17;10;87%;hitungan jam;9 bulan lalu;42;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.6 (17 Penilaian);Regular
technostar.id;11;2;98%;hitungan jam;2 bulan lalu;29;Komputer & Aksesoris;KOTA TANGERANG SELATAN - SERPONG, BANTEN, ID;5.0 (11 Penilaian);Regular
thinkpadsecond;1,3RB;54;100%;hitungan jam;36 bulan lalu;3,4RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (1,3RB Penilaian);Regular
ciptatech92;2,4RB;111;97%;hitungan jam;24 bulan lalu;7,1RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (2,4RB Penilaian);Star+
laptopplaza;718;203;63%;hitungan jam;22 bulan lalu;5,4RB;Komputer & Aksesoris;KOTA PEKANBARU - PEKANBARU KOTA, RIAU, ID;4.5 (718 Penilaian);Regular
smartmedia66;145;822;96%;hitungan jam;3 tahun lalu;335;Komputer & Aksesoris;KOTA MAKASSAR - MAMAJANG, SULAWESI SELATAN, ID;4.9 (145 Penilaian);Regular
agarespgc;345;978;100%;hitungan menit;13 bulan lalu;191;Komputer & Aksesoris;KOTA JAKARTA TIMUR - KRAMAT JATI, DKI JAKARTA, ID;4.9 (345 Penilaian);Star+
comlogics;3;134;76%;hitungan jam;11 bulan lalu;9;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;5.0 (3 Penilaian);Regular
morodadijaya;2,3RB;877;94%;hitungan jam;5 tahun lalu;3,4RB;Komputer & Aksesoris;KOTA SURABAYA - BENOWO, JAWA TIMUR, ID;4.8 (2,3RB Penilaian);Star
soopian;1,7RB;3,2RB;95%;hitungan jam;4 tahun lalu;922;Komputer & Aksesoris;KAB. GARUT - KERSAMANAH, JAWA BARAT, ID;4.8 (1,7RB Penilaian);Star+
anugerah_grosir;2,8RB;456;95%;hitungan jam;33 bulan lalu;2,2RB;Komputer & Aksesoris;KOTA SURABAYA - BENOWO, JAWA TIMUR, ID;4.8 (2,8RB Penilaian);Regular
mediatechstore;10,5RB;768;73%;hitungan jam;5 tahun lalu;1,6RB;Komputer & Aksesoris;KOTA MEDAN - MEDAN BARAT, SUMATERA UTARA, ID;4.8 (10,5RB Penilaian);Regular
heylook.co;21,6RB;198;98%;hitungan jam;3 tahun lalu;18,1RB;Tas Wanita;KOTA TANGERANG - BATUCEPER, BANTEN, ID;4.7 (21,6RB Penilaian);Star
btv.computer;74;12;41%;hitungan jam;28 bulan lalu;170;Komputer & Aksesoris;KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID;4.5 (74 Penilaian);Regular
hoyhoy_notebook;37;313;95%;hitungan jam;11 bulan lalu;117;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (37 Penilaian);Regular
skycom2002;810;152;84%;hitungan jam;4 tahun lalu;5,2RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (810 Penilaian);Regular
we_comp;15,2RB;411;100%;hitungan jam;4 tahun lalu;17RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - KEMBANGAN, DKI JAKARTA, ID;4.9 (15,2RB Penilaian);Star+
partag;1,7RB;341;98%;hitungan jam;4 tahun lalu;944;Komputer & Aksesoris;KOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID;4.8 (1,7RB Penilaian);Star
kosalya;445;441;84%;hitungan jam;5 tahun lalu;527;Komputer & Aksesoris;KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID;4.6 (445 Penilaian);Regular
unit.computer;54;199;88%;hitungan jam;11 bulan lalu;915;Komputer & Aksesoris;KOTA MALANG - SUKUN, JAWA TIMUR, ID;5.0 (54 Penilaian);Regular
siberiancore;96;998;100%;hitungan menit;9 bulan lalu;86;Komputer & Aksesoris;KOTA JAKARTA TIMUR - KRAMAT JATI, DKI JAKARTA, ID;4.9 (96 Penilaian);Star+
shulingtan66;2;48;91%;hitungan jam;21 bulan lalu;15;Komputer & Aksesoris;KAB. KEPULAUAN MERANTI - TEBING TINGGI, RIAU, ID;5.0 (2 Penilaian);Regular
ameeracell;217;305;80%;hitungan jam;3 tahun lalu;2,2RB;Komputer & Aksesoris;KAB. INDRAMAYU - SUKRA, JAWA BARAT, ID;4.7 (217 Penilaian);Regular
infonet.co.id;1,3RB;789;95%;hitungan jam;3 tahun lalu;1,7RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID;4.9 (1,3RB Penilaian);Shopee Mall
v2.electronic;234;99;100%;hitungan menit;27 bulan lalu;156;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;4.9 (234 Penilaian);Regular
cctv_elektronik;42;464;93%;hitungan jam;3 tahun lalu;63;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMBORA, DKI JAKARTA, ID;4.5 (42 Penilaian);Regular
kliknklikstore;298;289;95%;hitungan jam;27 bulan lalu;316;Komputer & Aksesoris;KOTA JAKARTA TIMUR - KRAMAT JATI, DKI JAKARTA, ID;4.9 (298 Penilaian);Regular
fajaryudistian48;61;50;75%;hitungan jam;4 tahun lalu;212;Komputer & Aksesoris;KAB. BANDUNG BARAT - LEMBANG, JAWA BARAT, ID;4.4 (61 Penilaian);Regular
lioncomputer;314;57;91%;hitungan jam;25 bulan lalu;166;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (314 Penilaian);Regular
novibelfania;50;100;79%;hitungan jam;35 bulan lalu;71;Komputer & Aksesoris;KOTA BANDUNG - SUMUR BANDUNG, JAWA BARAT, ID;5.0 (50 Penilaian);Regular
planetsolutions_it;64;99;46%;hitungan jam;16 bulan lalu;197;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.7 (64 Penilaian);Regular
nr_computer;349;825;97%;hitungan jam;26 bulan lalu;79;Komputer & Aksesoris;KAB. BANDUNG - KATAPANG, JAWA BARAT, ID;79;Regular
odomart;10,4RB;993;77%;hitungan jam;5 tahun lalu;3,6RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (10,4RB Penilaian);Regular
globalphonestore_;611;198;96%;hitungan jam;19 bulan lalu;7,9RB;Komputer & Aksesoris;KOTA BANDUNG - COBLONG, JAWA BARAT, ID;4.8 (611 Penilaian);Regular
kiete;152;95;90%;hitungan jam;4 tahun lalu;1,8RB;Komputer & Aksesoris;KOTA TANGERANG - TANGERANG, BANTEN, ID;4.7 (152 Penilaian);Regular
century.komputer;732;86;96%;hitungan jam;23 bulan lalu;1,7RB;Komputer & Aksesoris;KOTA PEKANBARU - TAMPAN, RIAU, ID;4.6 (732 Penilaian);Regular
batavia_laptop;747;129;97%;hitungan jam;3 tahun lalu;1,5RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (747 Penilaian);Regular
annamuthia;30;21;96%;hitungan jam;9 bulan lalu;50;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.9 (30 Penilaian);Regular
technoca_id;14;86;96%;hitungan jam;7 bulan lalu;488;Komputer & Aksesoris;KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID;4.9 (14 Penilaian);Regular
prapatan_22;19;18;97%;hitungan menit;8 bulan lalu;71;Komputer & Aksesoris;KOTA JAKARTA UTARA - KOJA, DKI JAKARTA, ID;5.0 (19 Penilaian);Regular
grosiriaofficialstore;136;392;90%;hitungan jam;12 bulan lalu;105;Komputer & Aksesoris;KOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID;4.9 (136 Penilaian);Star
technostarplus;4;2;17%;hitungan jam;38 hari lalu;1;Komputer & Aksesoris;KOTA TANGERANG SELATAN - SERPONG, BANTEN, ID;5.0 (4 Penilaian);Regular
desyree27;177;93;95%;hitungan jam;4 tahun lalu;2,9RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (177 Penilaian);Regular
milanbarok;272;366;37%;hitungan jam;5 tahun lalu;743;Komputer & Aksesoris;KOTA SURABAYA - BENOWO, JAWA TIMUR, ID;4.5 (272 Penilaian);Regular
akhdan_lopo;25;53;91%;hitungan jam;12 bulan lalu;27;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.7 (25 Penilaian);Regular
riskayuliee;306;170;56%;hitungan jam;28 bulan lalu;503;Komputer & Aksesoris;KOTA BEKASI - JATIASIH, JAWA BARAT, ID;4.6 (306 Penilaian);Regular
clavier;7,8RB;1,1RB;97%;hitungan jam;5 tahun lalu;3,6RB;Komputer & Aksesoris;KOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID;4.8 (7,8RB Penilaian);Regular
asusofficialshop;10,2RB;586;100%;hitungan menit;3 tahun lalu;178,7RB;Komputer & Aksesoris;KOTA JAKARTA UTARA;4.8 (10,2RB Penilaian);Shopee Mall
cahayaabadicomputer;275;92;89%;hitungan jam;20 bulan lalu;542;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.6 (275 Penilaian);Regular
alie_claser;67;76;98%;hitungan jam;22 bulan lalu;169;Komputer & Aksesoris;KOTA BOGOR - BOGOR UTARA - KOTA, JAWA BARAT, ID;4.9 (67 Penilaian);Regular
vegasautolamp;169;170;69%;hitungan jam;4 tahun lalu;2,8RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.7 (169 Penilaian);Regular
cahayamataharicomputers;2,2RB;848;98%;hitungan jam;4 tahun lalu;473;Komputer & Aksesoris;KOTA JAKARTA SELATAN - SETIA BUDI, DKI JAKARTA, ID;4.9 (2,2RB Penilaian);Regular
dwi.jayanto;30;23;95%;hitungan jam;4 tahun lalu;64;Komputer & Aksesoris;KOTA JAKARTA UTARA - KOJA, DKI JAKARTA, ID;5.0 (30 Penilaian);Regular
jimmclick;490;879;89%;hitungan jam;3 tahun lalu;743;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (490 Penilaian);Regular
asrialamer;92;42;88%;hitungan menit;34 bulan lalu;97;Komputer & Aksesoris;KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID;4.7 (92 Penilaian);Regular
flazz_99;13;254;96%;hitungan menit;4 bulan lalu;18;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;5.0 (13 Penilaian);Regular
murniajjah;290;91;86%;hitungan jam;4 tahun lalu;1,2RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID;4.6 (290 Penilaian);Regular
asrafagus89;13;34;90%;hitungan jam;19 bulan lalu;125;Komputer & Aksesoris;KAB. PONOROGO - PONOROGO, JAWA TIMUR, ID;4.8 (13 Penilaian);Regular
laptopcpu;133;84;99%;hitungan jam;14 bulan lalu;152;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (133 Penilaian);Regular
gorsir_komputer;127;33;41%;hitungan jam;25 bulan lalu;1,2RB;Komputer & Aksesoris;KOTA CIMAHI - CIMAHI UTARA, JAWA BARAT, ID;4.6 (127 Penilaian);Regular
sinarmulia.;4,3RB;360;99%;hitungan jam;4 tahun lalu;5RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - GROGOL PETAMBURAN, DKI JAKARTA, ID;4.9 (4,3RB Penilaian);Star+
wepart;26,6RB;1,2RB;89%;hitungan jam;33 bulan lalu;2,4RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (26,6RB Penilaian);Regular
yandra93;116;475;82%;hitungan jam;34 bulan lalu;33;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;33;Regular
juragancomputerr;127;118;98%;hitungan jam;4 tahun lalu;260;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.6 (127 Penilaian);Regular
zona.digital;3,2RB;389;96%;hitungan jam;24 bulan lalu;2RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (3,2RB Penilaian);Regular
rizkiprianto994;5,7RB;324;97%;hitungan jam;24 bulan lalu;2,5RB;Komputer & Aksesoris;KAB. TANGERANG - KOSAMBI, BANTEN, ID;4.9 (5,7RB Penilaian);Regular
uptodatebandung;323;888;89%;hitungan jam;5 tahun lalu;2,4RB;Komputer & Aksesoris;KOTA BANDUNG - SUMUR BANDUNG, JAWA BARAT, ID;4.9 (323 Penilaian);Star
suplementory;489;159;95%;hitungan jam;17 bulan lalu;193;Komputer & Aksesoris;KOTA DEPOK - BEJI, JAWA BARAT, ID;4.7 (489 Penilaian);Regular
